Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag umag gmag rmag imag zmag
0.000100 -2.191740 10.113940 0.758073 2.403124 0.757000 0.411000 3.813400 4.111000 1 0.000000 0.528000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.869100 0.130800 0.000011 0.000003 0.000027  0.000100 3.742000 20.350829 19.491669 19.217589 19.127629 19.123249
0.000100 -2.191740 10.113940 0.761867 2.404617 0.761000 0.466000 3.811400 4.051000 1 0.000000 0.528000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.867900 0.132000 0.000011 0.000003 0.000027  0.000100 3.606000 20.222829 19.357669 19.079589 18.987629 18.980249
0.000100 -2.191740 10.113940 0.764522 2.405652 0.763000 0.508000 3.808700 3.999000 1 0.000000 0.528000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.867100 0.132800 0.000011 0.000003 0.000027  0.000100 3.499000 20.123829 19.255669 18.970589 18.873629 18.864249
0.000100 -2.191740 10.113940 0.765089 2.405872 0.764000 0.518000 3.808000 3.987000 1 0.000000 0.528000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.866900 0.133000 0.000011 0.000003 0.000027  0.000100 3.475000 20.102829 19.232669 18.946589 18.848629 18.838249
0.000100 -2.191740 10.113940 0.765649 2.406088 0.764000 0.529000 3.806800 3.972000 2 0.000000 0.528000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.866800 0.133100 0.000011 0.000003 0.000027  0.000100 3.448000 20.077829 19.207669 18.917589 18.817629 18.806249
0.000100 -2.191740 10.113940 0.767532 2.406815 0.766000 0.569000 3.801300 3.910000 2 0.000000 0.528000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.866200 0.133700 0.000011 0.000003 0.000027  0.000100 3.347000 19.991829 19.119669 18.813589 18.704629 18.687249
0.000100 -2.191740 10.113940 0.768975 2.407369 0.768000 0.606000 3.794600 3.848000 2 0.000000 0.528000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.865800 0.134100 0.000011 0.000003 0.000027  0.000100 3.256000 19.920829 19.045669 18.718589 18.599629 18.574249
0.000100 -2.191740 10.113940 0.770104 2.407801 0.769000 0.639000 3.786700 3.784000 2 0.000000 0.528000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.865400 0.134500 0.000011 0.000003 0.000027  0.000099 3.172000 19.862829 18.983669 18.631589 18.499629 18.465249
0.000100 -2.191740 10.113940 0.771015 2.408148 0.769000 0.670000 3.778300 3.719000 2 0.000000 0.529000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.858300 0.141600 0.000011 0.000003 0.000028  0.000035 3.096000 19.816829 18.930669 18.551589 18.406629 18.361249
0.000100 -2.191740 10.113940 0.771780 2.408439 0.770000 0.699000 3.770200 3.658000 2 0.000000 0.531000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.835700 0.164300 0.000013 0.000003 0.000032  0.000048 3.022000 19.778829 18.880669 18.475589 18.317629 18.263249
0.000100 -2.191740 10.113940 0.772455 2.408695 0.771000 0.730000 3.762700 3.598000 2 0.000000 0.533000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.809900 0.190000 0.000014 0.000004 0.000036  0.000074 2.945000 19.737829 18.826669 18.397589 18.227629 18.164249
0.000100 -2.191740 10.113940 0.773053 2.408921 0.771000 0.764000 3.756100 3.538000 2 0.000000 0.535000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.792600 0.207300 0.000015 0.000004 0.000038  0.000094 2.861000 19.689829 18.763669 18.312589 18.131629 18.061249
0.000100 -2.191740 10.113940 0.773646 2.409146 0.772000 0.806000 3.750400 3.473000 2 0.000000 0.536000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.782100 0.217800 0.000016 0.000004 0.000039  0.000100 2.755000 19.618829 18.677669 18.206589 18.015629 17.938249
0.000100 -2.191740 10.113940 0.774114 2.409322 0.772000 0.846000 3.746600 3.418000 2 0.000000 0.536000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.777000 0.222900 0.000016 0.000004 0.000040  0.000100 2.654000 19.544829 18.589669 18.106589 17.909629 17.827249
0.000100 -2.191740 10.113940 0.774434 2.409443 0.773000 0.877000 3.744400 3.379000 2 0.000000 0.536000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.774300 0.225600 0.000016 0.000004 0.000041  0.000100 2.578000 19.484829 18.522669 18.030589 17.830629 17.745249
0.000100 -2.191740 10.113940 0.774720 2.409551 0.773000 0.907000 3.742800 3.343000 3 0.000000 0.536000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.772500 0.227400 0.000016 0.000004 0.000041  0.000100 2.503000 19.421829 18.452669 17.956589 17.752629 17.666249
