# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Sat Nov 15 21:20:15 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: SDSS <i>ugriz</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.011816 -0.10000 8.17609 0.6499999762 2.3520353107    0.650 -0.954  3.6338  4.692    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.83e-15      0.00 7.184e-01 2.697e-01 2.153e-03 5.807e-04 5.267e-03 -1.000 1.193e-02 7.155 11.364 8.597 7.407 6.973 6.743
0.011816 -0.10000 8.17609 0.7000000477 2.3779267258    0.700 -0.801  3.6609  4.679    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-14      0.00 7.184e-01 2.696e-01 2.152e-03 5.806e-04 5.266e-03 -1.000 1.198e-02 6.772 10.437 7.886 6.855 6.540 6.377
0.011816 -0.10000 8.17609 0.7500000000 2.3998889087    0.750 -0.657  3.6856  4.665    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.49e-14      0.00 7.185e-01 2.695e-01 2.123e-03 5.797e-04 5.265e-03 -1.000 1.193e-02 6.413 9.508 7.267 6.397 6.150 6.031
0.011816 -0.10000 8.17609 0.7509939075 2.4002915083    0.751 -0.655  3.6860  4.664    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -1.5e-14      0.00 7.185e-01 2.695e-01 2.123e-03 5.797e-04 5.265e-03 -1.000 1.193e-02 6.406 9.493 7.257 6.390 6.143 6.024
0.011816 -0.10000 8.17609 0.7989044785 2.4183407043    0.799 -0.531  3.7054  4.644    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.97e-14      0.00 7.185e-01 2.695e-01 2.123e-03 5.796e-04 5.264e-03 -1.000 1.198e-02 6.096 8.777 6.782 6.028 5.822 5.733
0.011816 -0.10000 8.17609 0.8478089571 2.4343661694    0.847 -0.411  3.7236  4.623    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.59e-14      0.00 7.187e-01 2.694e-01 2.122e-03 5.794e-04 5.263e-03 -1.000 1.193e-02 5.797 8.131 6.355 5.695 5.522 5.457
0.011816 -0.10000 8.17609 0.8967133760 2.4483982702    0.896 -0.297  3.7401  4.599    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.36e-14      0.00 7.188e-01 2.692e-01 2.122e-03 5.793e-04 5.262e-03 -1.000 1.198e-02 5.512 7.563 5.972 5.389 5.243 5.199
0.011816 -0.10000 8.17609 0.9456178546 2.4607745140    0.945 -0.190  3.7547  4.574    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -4.3e-14      0.00 7.189e-01 2.691e-01 2.120e-03 5.790e-04 5.259e-03 -1.000 1.196e-02 5.245 7.041 5.632 5.117 4.994 4.968
0.011816 -0.10000 8.17609 0.9945223331 2.4717615455    0.994 -0.084  3.7680  4.544    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.54e-14      0.00 7.192e-01 2.689e-01 2.119e-03 5.786e-04 5.255e-03 -1.000 1.196e-02 4.980 6.580 5.307 4.853 4.750 4.739
0.011816 -0.10000 8.17609 1.0434267521 2.4815726661    1.043  0.016  3.7801  4.512    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.63e-14      0.00 7.194e-01 2.687e-01 2.117e-03 5.780e-04 5.250e-03 -1.000 1.192e-02 4.730 6.173 5.007 4.606 4.523 4.527
